Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	50	38.75968992	0.028817201	"ENSMUSG00000027533, ENSMUSG00000033278, ENSMUSG00000027748, ENSMUSG00000028964, ENSMUSG00000021706, ENSMUSG00000020745, ENSMUSG00000036199, ENSMUSG00000025083, ENSMUSG00000008305, ENSMUSG00000026739, ENSMUSG00000029763, ENSMUSG00000025193, ENSMUSG00000052707, ENSMUSG00000037493, ENSMUSG00000063687, ENSMUSG00000035062, ENSMUSG00000025429, ENSMUSG00000049658, ENSMUSG00000000766, ENSMUSG00000029213, ENSMUSG00000001552, ENSMUSG00000023852, ENSMUSG00000003559, ENSMUSG00000027522, ENSMUSG00000021589, ENSMUSG00000038252, ENSMUSG00000044949, ENSMUSG00000098488, ENSMUSG00000055200, ENSMUSG00000035798, ENSMUSG00000020463, ENSMUSG00000025588, ENSMUSG00000014426, ENSMUSG00000026383, ENSMUSG00000045328, ENSMUSG00000021376, ENSMUSG00000021175, ENSMUSG00000095567, ENSMUSG00000020273, ENSMUSG00000037514, ENSMUSG00000028277, ENSMUSG00000029723, ENSMUSG00000024953, ENSMUSG00000059482, ENSMUSG00000031078, ENSMUSG00000030421, ENSMUSG00000020212, ENSMUSG00000021952, ENSMUSG00000024143, ENSMUSG00000042046"	116	6631	19662	1.27808777	0.996459297	0.847584253	30.53598763
GOTERM_CC_DIRECT	GO:0005634~nucleus	46	35.65891473	0.031549676	"ENSMUSG00000034120, ENSMUSG00000028964, ENSMUSG00000004096, ENSMUSG00000020745, ENSMUSG00000036199, ENSMUSG00000093996, ENSMUSG00000008305, ENSMUSG00000035877, ENSMUSG00000026739, ENSMUSG00000078746, ENSMUSG00000025193, ENSMUSG00000060093, ENSMUSG00000035062, ENSMUSG00000049658, ENSMUSG00000029213, ENSMUSG00000037640, ENSMUSG00000001552, ENSMUSG00000036781, ENSMUSG00000023852, ENSMUSG00000012405, ENSMUSG00000025647, ENSMUSG00000069301, ENSMUSG00000039990, ENSMUSG00000038252, ENSMUSG00000048490, ENSMUSG00000021496, ENSMUSG00000055200, ENSMUSG00000020463, ENSMUSG00000026383, ENSMUSG00000045328, ENSMUSG00000021175, ENSMUSG00000017210, ENSMUSG00000027599, ENSMUSG00000060445, ENSMUSG00000038722, ENSMUSG00000023075, ENSMUSG00000020273, ENSMUSG00000095567, ENSMUSG00000001020, ENSMUSG00000033213, ENSMUSG00000029723, ENSMUSG00000030346, ENSMUSG00000024953, ENSMUSG00000030421, ENSMUSG00000020212, ENSMUSG00000021952"	116	6019	19662	1.295397907	0.997944449	0.787072346	32.93245724
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus	13	10.07751938	0.045587241	"ENSMUSG00000052707, ENSMUSG00000055069, ENSMUSG00000021589, ENSMUSG00000027522, ENSMUSG00000024792, ENSMUSG00000029229, ENSMUSG00000031078, ENSMUSG00000035798, ENSMUSG00000048911, ENSMUSG00000029763, ENSMUSG00000024172, ENSMUSG00000033107, ENSMUSG00000030283"	116	1190	19662	1.851680672	0.99987723	0.834872757	44.08903859
GOTERM_CC_DIRECT	"GO:0000779~condensed chromosome, centromeric region"	2	1.550387597	0.045852031	"ENSMUSG00000038252, ENSMUSG00000045328"	116	8	19662	42.375	0.999883631	0.779043906	44.28202147
GOTERM_CC_DIRECT	GO:0005622~intracellular	16	12.40310078	0.046006743	"ENSMUSG00000055069, ENSMUSG00000074527, ENSMUSG00000025647, ENSMUSG00000021589, ENSMUSG00000038608, ENSMUSG00000027560, ENSMUSG00000044501, ENSMUSG00000019944, ENSMUSG00000029763, ENSMUSG00000055240, ENSMUSG00000037640, ENSMUSG00000024143, ENSMUSG00000033107, ENSMUSG00000020220, ENSMUSG00000036781, ENSMUSG00000012405"	116	1599	19662	1.696060038	0.999887217	0.727080327	44.39449366
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	9	6.976744186	0.050239549	"ENSMUSG00000052707, ENSMUSG00000033278, ENSMUSG00000027522, ENSMUSG00000025521, ENSMUSG00000028964, ENSMUSG00000001020, ENSMUSG00000020745, ENSMUSG00000024953, ENSMUSG00000014426"	116	692	19662	2.204479769	0.99995219	0.711636887	47.39183299
GOTERM_CC_DIRECT	GO:1990023~mitotic spindle midzone	2	1.550387597	0.06250387	"ENSMUSG00000031078, ENSMUSG00000045328"	116	11	19662	30.81818182	0.999996109	0.749446113	55.25784742
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	9	6.976744186	0.073476707	"ENSMUSG00000052707, ENSMUSG00000027522, ENSMUSG00000025521, ENSMUSG00000021706, ENSMUSG00000031078, ENSMUSG00000024953, ENSMUSG00000035798, ENSMUSG00000030421, ENSMUSG00000033107"	116	751	19662	2.031291611	0.999999599	0.77074047	61.36303931
GOTERM_MF_DIRECT	GO:0045296~cadherin binding	3	2.325581395	0.013104088	"ENSMUSG00000033278, ENSMUSG00000027748, ENSMUSG00000001552"	106	29	17446	17.02602472	0.958916571	0.958916571	15.67424423
GOTERM_MF_DIRECT	GO:0051920~peroxiredoxin activity	2	1.550387597	0.058596268	"ENSMUSG00000028964, ENSMUSG00000024953"	106	10	17446	32.91698113	0.999999549	0.999328748	54.17867478
GOTERM_MF_DIRECT	GO:0005522~profilin binding	2	1.550387597	0.064265423	"ENSMUSG00000031078, ENSMUSG00000024143"	106	11	17446	29.9245283	0.999999896	0.995290415	57.61973311
GOTERM_MF_DIRECT	GO:0003714~transcription corepressor activity	4	3.100775194	0.069067635	"ENSMUSG00000095567, ENSMUSG00000048490, ENSMUSG00000008305, ENSMUSG00000035877"	106	157	17446	4.193246004	0.99999997	0.986831181	60.34633434
GOTERM_MF_DIRECT	GO:0051087~chaperone binding	3	2.325581395	0.075017082	"ENSMUSG00000056900, ENSMUSG00000024580, ENSMUSG00000075467"	106	75	17446	6.583396226	0.999999994	0.977045297	63.49971698
GOTERM_MF_DIRECT	GO:0015095~magnesium ion transmembrane transporter activity	2	1.550387597	0.092107929	"ENSMUSG00000031232, ENSMUSG00000035798"	106	16	17446	20.57311321	1	0.979705408	71.31765635
GOTERM_MF_DIRECT	GO:0003713~transcription coactivator activity	4	3.100775194	0.094748229	"ENSMUSG00000017210, ENSMUSG00000028964, ENSMUSG00000048490, ENSMUSG00000001552"	106	180	17446	3.657442348	1	0.967977458	72.37722863
GOTERM_MF_DIRECT	GO:0003723~RNA binding	9	6.976744186	0.097996422	"ENSMUSG00000034120, ENSMUSG00000052707, ENSMUSG00000020273, ENSMUSG00000028964, ENSMUSG00000004096, ENSMUSG00000031949, ENSMUSG00000034732, ENSMUSG00000030346, ENSMUSG00000020280"	106	780	17446	1.899056604	1	0.955837884	73.63118783
